Product Name,Original Price,Rating
"CMF by Nothing Phone 2 Pro (Black, 128 GB)","₹17,999",4.4
"Samsung Galaxy S25 Plus 5G (Navy, 256 GB)","₹75,999",4.7
"Samsung M06 5G (Blazing Black, 128 GB)","₹9,223",4
"REDMI A4 (Starry Black, 128 GB)","₹9,592",4.2
"Apple iPhone 14 (Starlight, 128 GB)","₹54,900",4.6
"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹18,999",4.4
"Nothing Phone (3a) (Blue, 256 GB)","₹26,999",4.5
"CMF by Nothing Phone 2 Pro (Black, 256 GB)","₹19,999",4.4
"CMF by Nothing Phone 2 Pro (Orange, 256 GB)","₹19,999",4.4
"POCO X7 5G (Yellow, 256 GB)","₹17,999",4.3
"realme C71 (Obsidian Black, 128 GB)","₹8,699",4.2
"realme C71 (Sea Blue, 128 GB)","₹8,699",4.2
"CMF by Nothing Phone 2 Pro (Orange, 256 GB)","₹19,999",4.4
"MOTOROLA G96 5G (Pantone Cattleya Orchid, 256 GB)","₹19,999",4.4
"realme P3 Lite 5G Charger in the Box (Midnight Lily, 128 GB)","₹9,749",4.4
"MOTOROLA Edge 60 Pro (Pantone Sparkling Grape, 256 GB)","₹27,999",4.3
"Samsung Galaxy A35 5G (Awesome Iceblue, 256 GB)","₹20,999",4.4
"CMF by Nothing Phone 2 Pro (Black, 256 GB)","₹19,999",4.4
"Google Pixel 9A (Obsidian, 256 GB)","₹44,999",4.4
"POCO M7 Pro 5G (Olive Twilight, 128 GB)","₹11,999",4.3
"realme Narzo 80 Lite 5G (Crystal Purple, 128 GB)","₹10,706",4.3
"REDMI A4 (Starry Black, 128 GB)","₹9,592",4.2
"MOTOROLA g35 5G (Leaf Green, 128 GB)","₹11,999",4.2
"realme P3 Lite 5G Charger in the Box (Purple Blossom, 128 GB)","₹10,749",4.4
"realme P4 5G (Steel Grey, 256 GB)","₹19,999",4.4
"realme P4 5G (Engine Blue, 128 GB)","₹16,999",4.4
"REDMI A4 5G only on Jio SIM (Starry Black, 128 GB)","₹8,851",4.3
"POCO F6 5G (Deadpool, 256 GB)","₹21,999",4.3
"Google Pixel 9A (Iris, 256 GB)","₹44,999",4.4
"realme 15x 5G (Maroon Red, 128 GB)","₹18,999",4.3
"realme 15x 5G (Aqua Blue, 128 GB)","₹17,499",4.4
"MOTOROLA G96 5G (Pantone Cattleya Orchid, 128 GB)","₹17,999",4.4
"Moto g06 power (Pantone Tendril, 64 GB)","₹7,199",4.2
"realme P4 5G (Steel Grey, 128 GB)","₹16,999",4.4
"realme P4 5G (Forge Red, 128 GB)","₹16,999",4.4
"POCO M7 Plus 5G (Carbon Black, 128 GB)","₹12,999",4.3
"POCO F7 5G (Frost White, 512 GB)","₹32,999",4.4
"Samsung Galaxy S25 Plus 5G (Navy, 256 GB)","₹75,999",4.7
"IQOO Z10 Lite 5G (Titanium Blue, 256 GB)","₹13,690",4.2
"Samsung Galaxy A55 5G (Awesome Iceblue, 256 GB)","₹26,999",4.4
"POCO M7 Pro 5G (Lunar Dust, 128 GB)","₹11,999",4.3
"REDMI 13 5G (Orchid Pink, 128 GB)","₹12,479",4.3
"MOTOROLA G86 Power 5G (Pantone Golden Cypress, 128 GB)","₹17,999",4.3
"realme 15x 5G (Marine Blue, 128 GB)","₹17,499",4.4
"realme 15x 5G (Aqua Blue, 128 GB)","₹18,999",4.3
"Nothing Phone (3a) Pro (Black, 256 GB)","₹30,999",4.5
